,open,close,high,low,volume,year,month,week,weekday,day,hour,minute,timestamp,y_timestamp,bid,diff_h_v,diff_l_v,y_high_p,y_low_p,y_c_high_p,y_c_low_p,diff_h,diff_l,op,price,take_profit,stop_loss,profit,loss,risk,v1,v2,v3,v4,v5,v6,vf
4876,1.07147,1.06503,1.07212,1.06498,113962.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,23.0,2022-12-15 09:23:00-05:00,2022-12-15 10:23:00-05:00,1.06503,5.2839994,11.56606,1.065558399948962,1.0638733939870446,1.065558399948962,1.0638733939870446,5.283999489620328,11.56606012955308,v,1.06503,1.0638733939870446,1.065558399948962,11.56606012955308,-5.283999489620328,2.188883657591749,True,True,True,True,True,True,True
4877,1.07192,1.06433,1.07192,1.0640500000000002,114091.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,24.0,2022-12-15 09:24:00-05:00,2022-12-15 10:24:00-05:00,1.06433,5.525651,11.704014,1.064882565092221,1.0631595986549929,1.064882565092221,1.0631595986549929,5.525650922209024,11.704013450071216,v,1.06433,1.0631595986549929,1.064882565092221,11.704013450071216,-5.525650922209024,2.1181239305273065,True,True,True,True,True,True,True
4878,1.0712,1.06461,1.07145,1.0640500000000002,114230.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,25.0,2022-12-15 09:25:00-05:00,2022-12-15 10:25:00-05:00,1.06461,6.2814856,11.596076,1.0652381485548243,1.063450392450802,1.0652381485548243,1.063450392450802,6.281485548242927,11.596075491979718,v,1.06461,1.063450392450802,1.0652381485548243,11.596075491979718,-6.281485548242927,1.8460721437500405,True,False,True,True,True,True,False
4879,1.0707,1.06433,1.07145,1.06397,114454.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,26.0,2022-12-15 09:26:00-05:00,2022-12-15 10:26:00-05:00,1.06433,6.1394687,11.970533,1.0649439468750916,1.0631329466476291,1.0649439468750916,1.0631329466476291,6.139468750916421,11.970533523708582,v,1.06433,1.0631329466476291,1.0649439468750916,11.970533523708582,-6.139468750916421,1.9497669927747043,True,False,True,True,True,True,False
4880,1.07084,1.06429,1.07145,1.06383,114715.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,27.0,2022-12-15 09:27:00-05:00,2022-12-15 10:27:00-05:00,1.06429,6.2414656,12.181951,1.0649141465453058,1.0630718049266934,1.0649141465453058,1.0630718049266934,6.241465453058481,12.181950733065605,v,1.06429,1.0630718049266934,1.0649141465453058,12.181950733065605,-6.241465453058481,1.9517773229195927,True,False,True,True,True,True,False
4881,1.07099,1.06379,1.07145,1.0636700000000001,115053.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,28.0,2022-12-15 09:28:00-05:00,2022-12-15 10:28:00-05:00,1.06379,6.3994174,12.350575,1.0644299417179637,1.0625549425165728,1.0644299417179637,1.0625549425165728,6.399417179636657,12.350574834272265,v,1.06379,1.0625549425165728,1.0644299417179637,12.350574834272265,-6.399417179636657,1.9299530703471812,True,False,True,True,True,True,False
4882,1.07081,1.06392,1.07124,1.0636700000000001,114937.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,29.0,2022-12-15 09:29:00-05:00,2022-12-15 10:29:00-05:00,1.06392,6.7746305,12.458357,1.0645974630164727,1.0626741643204167,1.0645974630164727,1.0626741643204167,6.774630164727569,12.458356795832515,v,1.06392,1.0626741643204167,1.0645974630164727,12.458356795832515,-6.774630164727569,1.8389722380267393,True,False,True,True,True,True,False
4883,1.0706,1.06404,1.07124,1.0636700000000001,114687.00000000001,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,30.0,2022-12-15 09:30:00-05:00,2022-12-15 10:30:00-05:00,1.06404,6.7587533,12.7509165,1.0647158752861061,1.0627649083351345,1.0647158752861061,1.0627649083351345,6.758752861060202,12.75091664865613,v,1.06404,1.0627649083351345,1.0647158752861061,12.75091664865613,-6.758752861060202,1.8865783245484693,True,False,True,True,True,True,False
4884,1.07063,1.0634299999999999,1.07124,1.06337,114184.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,31.000000000000004,2022-12-15 09:31:00-05:00,2022-12-15 10:31:00-05:00,1.0634299999999999,6.713113,13.011147,1.0641013112816213,1.0621288854361697,1.0641013112816213,1.0621288854361697,6.7131128162145615,13.011145638301969,v,1.0634299999999999,1.0621288854361697,1.0641013112816213,13.011145638301969,-6.7131128162145615,1.9381687742347204,True,False,True,True,True,True,False
4885,1.07072,1.06232,1.07124,1.06229,114057.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,32.0,2022-12-15 09:32:00-05:00,2022-12-15 10:32:00-05:00,1.06232,7.147423,13.0518675,1.0630347422875277,1.0610148132282122,1.0630347422875277,1.0610148132282122,7.147422875277698,13.05186771787703,v,1.06232,1.0610148132282122,1.0630347422875277,13.05186771787703,-7.147422875277698,1.8260942364306278,True,False,True,True,True,True,False
